Humidity,Temperature,UnixTime,Hour,Minute,Humidity_Future,Temperature_Future,UnixTime_Future,Hour_Future,Minute_Future
66.0,34.0,1592670580.0,16.0,29.0,88.0,27.8,1592692179.0,22.0,29.0
66.0,34.0,1592670590.0,16.0,29.0,89.0,27.8,1592692189.0,22.0,29.0
66.0,33.7,1592670600.0,16.0,30.0,89.0,27.8,1592692200.0,22.0,30.0
66.0,33.6,1592670611.0,16.0,30.0,89.0,27.8,1592692210.0,22.0,30.0
66.0,33.9,1592670621.0,16.0,30.0,89.0,27.8,1592692220.0,22.0,30.0
66.0,33.6,1592670632.0,16.0,30.0,89.0,27.8,1592692231.0,22.0,30.0
66.0,33.5,1592670642.0,16.0,30.0,89.0,27.9,1592692241.0,22.0,30.0
66.0,33.5,1592670652.0,16.0,30.0,89.0,28.2,1592692251.0,22.0,30.0
66.0,33.5,1592670663.0,16.0,31.0,89.0,28.2,1592692262.0,22.0,31.0
66.0,33.5,1592670673.0,16.0,31.0,89.0,28.2,1592692272.0,22.0,31.0
66.0,33.5,1592670684.0,16.0,31.0,89.0,28.2,1592692282.0,22.0,31.0
66.0,33.5,1592670695.0,16.0,31.0,89.0,28.2,1592692293.0,22.0,31.0
66.0,33.5,1592670706.0,16.0,31.0,89.0,28.2,1592692303.0,22.0,31.0
66.0,33.5,1592670716.0,16.0,31.0,89.0,28.2,1592692314.0,22.0,31.0
66.0,33.5,1592670727.0,16.0,32.0,88.0,28.2,1592692324.0,22.0,32.0
66.0,33.5,1592670737.0,16.0,32.0,89.0,28.2,1592692334.0,22.0,32.0
66.0,33.5,1592670747.0,16.0,32.0,89.0,28.2,1592692345.0,22.0,32.0
66.0,33.5,1592670758.0,16.0,32.0,89.0,28.2,1592692355.0,22.0,32.0
66.0,33.5,1592670768.0,16.0,32.0,89.0,27.9,1592692365.0,22.0,32.0
66.0,33.5,1592670779.0,16.0,32.0,89.0,27.8,1592692376.0,22.0,32.0
66.0,33.5,1592670789.0,16.0,33.0,88.0,28.2,1592692386.0,22.0,33.0
66.0,33.7,1592670800.0,16.0,33.0,88.0,28.2,1592692396.0,22.0,33.0
66.0,33.5,1592670810.0,16.0,33.0,88.0,28.0,1592692407.0,22.0,33.0
66.0,33.6,1592670820.0,16.0,33.0,88.0,27.8,1592692417.0,22.0,33.0
66.0,33.5,1592670831.0,16.0,33.0,88.0,27.8,1592692427.0,22.0,33.0
66.0,33.5,1592670841.0,16.0,34.0,88.0,27.8,1592692438.0,22.0,33.0
66.0,33.8,1592670851.0,16.0,34.0,88.0,27.8,1592692448.0,22.0,34.0
66.0,33.9,1592670862.0,16.0,34.0,88.0,27.8,1592692458.0,22.0,34.0
66.0,33.9,1592670872.0,16.0,34.0,88.0,27.8,1592692469.0,22.0,34.0
66.0,33.9,1592670884.0,16.0,34.0,88.0,27.8,1592692479.0,22.0,34.0
66.0,33.9,1592670894.0,16.0,34.0,88.0,27.8,1592692490.0,22.0,34.0
66.0,33.9,1592670905.0,16.0,35.0,88.0,28.0,1592692500.0,22.0,35.0
66.0,33.6,1592670915.0,16.0,35.0,88.0,28.2,1592692510.0,22.0,35.0
