Humidity,Temperature,Hour,Minute,Humidity_Future,Temperature_Future,Hour_Future,Minute_Future
66.0,33.9,16.0,37.0,89.0,28.2,22.0,37.0
66.0,33.9,16.0,37.0,89.0,28.2,22.0,37.0
66.0,33.9,16.0,37.0,89.0,27.8,22.0,37.0
66.0,33.9,16.0,38.0,89.0,27.8,22.0,37.0
66.0,33.9,16.0,38.0,89.0,27.8,22.0,38.0
66.0,33.9,16.0,38.0,89.0,27.8,22.0,38.0
66.0,33.9,16.0,38.0,89.0,27.8,22.0,38.0
66.0,33.9,16.0,38.0,89.0,27.8,22.0,38.0
66.0,33.9,16.0,38.0,89.0,27.8,22.0,38.0
66.0,33.9,16.0,39.0,89.0,28.0,22.0,38.0
66.0,33.9,16.0,39.0,89.0,28.2,22.0,39.0
66.0,33.9,16.0,39.0,89.0,28.2,22.0,39.0
66.0,33.9,16.0,39.0,89.0,28.2,22.0,39.0
66.0,33.9,16.0,39.0,89.0,28.2,22.0,39.0
66.0,33.9,16.0,39.0,89.0,28.2,22.0,40.0
66.0,33.7,16.0,40.0,89.0,28.2,22.0,40.0
66.0,33.5,16.0,40.0,89.0,28.2,22.0,40.0
66.0,33.5,16.0,40.0,88.0,28.1,22.0,40.0
66.0,33.5,16.0,40.0,88.0,27.8,22.0,40.0
66.0,33.5,16.0,40.0,88.0,27.8,22.0,40.0
66.0,33.5,16.0,40.0,88.0,27.9,22.0,41.0
66.0,33.5,16.0,41.0,88.0,28.1,22.0,41.0
66.0,33.5,16.0,41.0,88.0,28.0,22.0,41.0
66.0,33.5,16.0,41.0,88.0,27.9,22.0,41.0
66.0,33.5,16.0,41.0,88.0,27.9,22.0,41.0
66.0,33.5,16.0,41.0,89.0,27.9,22.0,41.0
66.0,33.5,16.0,42.0,89.0,28.0,22.0,42.0
66.0,33.5,16.0,42.0,89.0,28.0,22.0,42.0
66.0,33.5,16.0,42.0,89.0,27.9,22.0,42.0
66.0,33.5,16.0,42.0,89.0,27.9,22.0,42.0
