,Humidity,Temperature,UnixTime
-MAG6rDq3dy72H_I5YiV,65.00,33.50,1592671601
-MAG6tk6g5rhTVqv9RDz,65.00,33.50,1592671611
-MAG6wGe_FPm3FSdA3W_,66.00,33.50,1592671621
-MAG6ynI_Ep3Jv3L_rWr,67.00,33.50,1592671632
-MAG70KBCNecKowgDRkk,65.00,33.50,1592671642
-MAG72qit_8--4MO9SjJ,65.00,33.50,1592671652
-MAG75N68JcIuT-dH3yj,65.00,33.50,1592671663
-MAG77uM9nD5gMu1QX3g,65.00,33.50,1592671673
-MAG7AQWUZWV9FRy5r3r,65.00,33.50,1592671683
-MAG7Cx5Y84mKJdDL_zl,65.00,33.50,1592671694
-MAG7FWyvStLeVLLJf59,65.00,33.50,1592671704
-MAG7I2GFM9x44Pu9oJt,65.00,33.50,1592671715
-MAG7K_-Kh0wWjj2lxDH,66.00,33.50,1592671725
-MAG7N5RI2RcQ6b7GEgh,66.00,33.50,1592671735
-MAG7PbAoUeLboQq_no-,65.00,33.50,1592671746
-MAG7S72ySr5Ft1fB-PZ,65.00,33.50,1592671756
-MAG7UdluTRGcAX5Lks2,65.00,33.50,1592671766
-MAG7XAcwjthtBhJ7S6X,65.00,33.50,1592671777
-MAG7ZgtqGZhhBilTFuW,65.00,33.50,1592671787
-MAG7bDoaS3_2yfXnYLd,65.00,33.50,1592671797
-MAG7dkBZtvt3_jHSp-D,65.00,33.50,1592671808
-MAG7gGms7hFEY9FL7rj,65.00,33.50,1592671818
-MAG7ingK_1T4M60tkOP,65.00,33.50,1592671828
-MAG7lK5hrAEnLU153MS,65.00,33.20,1592671839
-MAG7nqe4kHW6nzSWTav,65.00,33.00,1592671849
-MAG7qN6ylGdSzIt7y5g,66.00,33.00,1592671859
-MAG7styGAOsdMnQbF9x,66.00,33.00,1592671870
-MAG7vRvhjxYDpkhYd5f,66.00,33.00,1592671880
-MAG7y-JlXWLcPGhzU8w,66.00,33.00,1592671891
-MAG8-WfKNW_7gH7L9Sr,66.00,33.00,1592671901
-MAG82ORKNm1HR6mNG-q,66.00,33.10,1592671911
-MAG84vQFORkphGj76D9,66.00,33.00,1592671923
-MAG87RLpQRPyw0unn2E,66.00,33.00,1592671933
-MAG89yXR6x-tqGp3tus,66.00,33.00,1592671944
-MAG8CV8zRGsV7U_J8hd,66.00,33.00,1592671954
-MAG8F16cSwRX-cVryUe,66.00,33.00,1592671964
-MAG8HYDskgIhcxOpKh0,66.00,33.00,1592671975
-MAG8K3KwcB1YHAqOkL4,66.00,33.00,1592671985
-MAG8MaWiC8oCrTe2Hqs,66.00,33.50,1592671995
-MAG8P79OOD6VzWEHckQ,67.00,33.50,1592672006
-MAG8RdkJBG-aWbFxK4N,66.00,33.50,1592672016
